port,requests_per_second,unique_payloads,port_commonality,is_scanning,is_exploit,is_bruteforce,time_of_day,day_of_week,attack_type,threat_level
27017,0.09,3,0.3,0,0,0,16,4,MongoDB Attack,6.0
22,0.16,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
22,0.16,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
22,0.02,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
80,0.13,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
443,0.45,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
8443,0.33,6,0.3,0,0,0,16,4,HTTP Web Scan,9.0
22,0.21,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
5432,0.56,3,1.0,0,0,0,16,4,PostgreSQL Attack,3.0
22,1.28,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
3389,0.15,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
445,3.0,5,0.3,0,1,0,16,4,SMB Exploit,10.0
3306,0.21,4,1.0,0,0,0,16,4,MySQL Attack,3.0
443,1.96,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
8554,0.5,5,0.3,0,1,0,16,4,IoT Exploit,9.0
6379,0.47,4,1.0,0,0,0,16,4,Redis Attack,3.0
3389,0.05,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
22,0.19,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
22,0.1,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
445,1.38,5,0.3,0,1,0,16,4,SMB Exploit,10.0
3389,0.02,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
53,876.11,2,0.3,0,0,0,16,4,DNS Amplification,3.0
22,0.13,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
244,2.52,0,0.3,1,0,0,16,4,Port Scan,6.0
21,0.05,4,1.0,0,0,0,16,4,FTP Attack,4.0
3389,0.03,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
8080,0.08,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
21,0.12,4,1.0,0,0,0,16,4,FTP Attack,4.0
27017,0.69,3,0.3,0,0,0,16,4,MongoDB Attack,3.0
22,0.05,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
22,0.02,8,1.0,0,0,1,16,4,SSH Brute Force,10.0
23,0.0,4,1.0,0,0,1,16,4,Telnet Brute Force,9.0
27017,0.14,3,0.3,0,0,0,16,4,MongoDB Attack,6.0
8080,0.21,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
22,0.16,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
27017,0.38,3,0.3,0,0,0,16,4,MongoDB Attack,3.0
22,0.03,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
5432,0.09,3,1.0,0,0,0,16,4,PostgreSQL Attack,3.0
3389,0.0,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
139,0.1,5,0.3,0,1,0,16,4,SMB Exploit,10.0
139,0.11,5,0.3,0,1,0,16,4,SMB Exploit,10.0
22,0.1,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
80,0.14,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
6379,0.4,4,1.0,0,0,0,16,4,Redis Attack,3.0
139,0.28,5,0.3,0,1,0,16,4,SMB Exploit,10.0
21,0.12,4,1.0,0,0,0,16,4,FTP Attack,4.0
21,3.08,4,1.0,0,0,0,16,4,FTP Attack,4.0
955,64.69,0,0.3,1,0,0,16,4,Port Scan,9.0
8080,0.24,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
23,1.2,4,1.0,0,0,1,16,4,Telnet Brute Force,9.0
22,0.07,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
53,1173.54,2,0.3,0,0,0,16,4,DNS Amplification,3.0
6379,0.73,4,1.0,0,0,0,16,4,Redis Attack,3.0
3389,0.2,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
445,0.05,5,0.3,0,1,0,16,4,SMB Exploit,10.0
3389,0.03,3,1.0,0,0,1,16,4,RDP Brute Force,10.0
8443,4.35,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
595,47.87,0,0.3,1,0,0,16,4,Port Scan,6.0
3389,0.19,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
443,0.28,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
22,0.21,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
80,0.03,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
97,56.08,0,0.3,1,0,0,16,4,Port Scan,6.0
6379,0.1,4,1.0,0,0,0,16,4,Redis Attack,3.0
53,1566.0,2,0.3,0,0,0,16,4,DNS Amplification,6.0
80,0.37,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
5432,0.44,3,1.0,0,0,0,16,4,PostgreSQL Attack,3.0
3306,0.3,4,1.0,0,0,0,16,4,MySQL Attack,3.0
23,0.1,4,1.0,0,0,1,16,4,Telnet Brute Force,9.0
392,5.51,0,0.3,1,0,0,16,4,Port Scan,6.0
23,0.59,4,1.0,0,0,1,16,4,Telnet Brute Force,9.0
6379,2.0,4,1.0,0,0,0,16,4,Redis Attack,3.0
445,0.42,5,0.3,0,1,0,16,4,SMB Exploit,10.0
443,2.56,6,1.0,0,0,0,16,4,HTTP Web Scan,9.0
8443,0.19,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
870,21.49,0,0.3,1,0,0,16,4,Port Scan,6.0
22,0.22,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
5432,0.49,3,1.0,0,0,0,16,4,PostgreSQL Attack,3.0
22,0.02,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
23,0.01,4,1.0,0,0,1,16,4,Telnet Brute Force,9.0
199,743.62,0,0.3,1,0,0,16,4,Port Scan,6.0
27017,1.06,3,0.3,0,0,0,16,4,MongoDB Attack,3.0
883,20.12,0,0.3,1,0,0,16,4,Port Scan,6.0
21,0.1,4,1.0,0,0,0,16,4,FTP Attack,4.0
3306,0.24,4,1.0,0,0,0,16,4,MySQL Attack,3.0
3389,0.01,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
445,0.59,5,0.3,0,1,0,16,4,SMB Exploit,10.0
22,0.14,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
53,675.61,2,0.3,0,0,0,16,4,DNS Amplification,3.0
139,0.12,5,0.3,0,1,0,16,4,SMB Exploit,10.0
6379,0.5,4,1.0,0,0,0,16,4,Redis Attack,3.0
22,0.38,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
23,0.1,4,1.0,0,0,1,16,4,Telnet Brute Force,9.0
8443,0.16,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
348,420.24,0,0.3,1,0,0,16,4,Port Scan,6.0
3389,0.01,3,1.0,0,0,1,16,4,RDP Brute Force,10.0
408,5.3,0,0.3,1,0,0,16,4,Port Scan,6.0
21,0.06,4,1.0,0,0,0,16,4,FTP Attack,4.0
27017,0.69,3,0.3,0,0,0,16,4,MongoDB Attack,3.0
534,11.09,0,0.3,1,0,0,16,4,Port Scan,6.0
325,10.37,0,0.3,1,0,0,16,4,Port Scan,6.0
22,0.72,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
443,0.08,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
22,0.03,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
3306,0.49,4,1.0,0,0,0,16,4,MySQL Attack,3.0
22,0.02,8,1.0,0,0,1,16,4,SSH Brute Force,10.0
151,24.6,0,0.3,1,0,0,16,4,Port Scan,6.0
3306,0.05,4,1.0,0,0,0,16,4,MySQL Attack,6.0
3306,0.05,4,1.0,0,0,0,16,4,MySQL Attack,3.0
139,0.07,5,0.3,0,1,0,16,4,SMB Exploit,10.0
8443,0.33,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
9000,1.93,5,0.3,0,1,0,16,4,IoT Exploit,9.0
80,0.41,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
497,263.79,0,0.3,1,0,0,16,4,Port Scan,6.0
23,0.27,4,1.0,0,0,1,16,4,Telnet Brute Force,9.0
22,0.11,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
22,0.09,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
3306,0.33,4,1.0,0,0,0,16,4,MySQL Attack,3.0
21,0.05,4,1.0,0,0,0,16,4,FTP Attack,4.0
27017,0.19,3,0.3,0,0,0,16,4,MongoDB Attack,3.0
21,0.24,4,1.0,0,0,0,16,4,FTP Attack,4.0
21,0.03,4,1.0,0,0,0,16,4,FTP Attack,4.0
53,2557.33,2,0.3,0,0,0,16,4,DNS Amplification,3.0
3306,0.4,4,1.0,0,0,0,16,4,MySQL Attack,3.0
21,0.21,4,1.0,0,0,0,16,4,FTP Attack,4.0
8080,0.16,5,0.3,0,1,0,16,4,IoT Exploit,9.0
543,85.58,0,0.3,1,0,0,16,4,Port Scan,9.0
22,0.13,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
6379,2.58,4,1.0,0,0,0,16,4,Redis Attack,3.0
27017,0.15,3,0.3,0,0,0,16,4,MongoDB Attack,3.0
6379,0.23,4,1.0,0,0,0,16,4,Redis Attack,3.0
5432,0.67,3,1.0,0,0,0,16,4,PostgreSQL Attack,3.0
3389,0.09,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
23,0.02,4,1.0,0,0,1,16,4,Telnet Brute Force,9.0
554,0.42,5,0.3,0,1,0,16,4,IoT Exploit,9.0
139,3.8,5,0.3,0,1,0,16,4,SMB Exploit,10.0
139,0.14,5,0.3,0,1,0,16,4,SMB Exploit,10.0
22,0.19,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
80,0.14,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
139,0.05,5,0.3,0,1,0,16,4,SMB Exploit,10.0
8554,1.66,5,0.3,0,1,0,16,4,IoT Exploit,9.0
22,0.04,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
443,0.82,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
21,0.01,4,1.0,0,0,0,16,4,FTP Attack,4.0
6379,0.21,4,1.0,0,0,0,16,4,Redis Attack,3.0
6379,0.89,4,1.0,0,0,0,16,4,Redis Attack,3.0
3389,0.03,3,1.0,0,0,1,16,4,RDP Brute Force,10.0
445,0.21,5,0.3,0,1,0,16,4,SMB Exploit,10.0
8443,0.15,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
3389,0.01,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
9000,0.68,5,0.3,0,1,0,16,4,IoT Exploit,9.0
22,0.2,8,1.0,0,0,1,16,4,SSH Brute Force,10.0
3389,0.02,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
793,0.97,0,0.3,1,0,0,16,4,Port Scan,6.0
3389,0.15,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
23,0.03,4,1.0,0,0,1,16,4,Telnet Brute Force,10.0
443,0.1,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
474,29.86,0,0.3,1,0,0,16,4,Port Scan,6.0
8080,0.15,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
22,0.07,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
6379,0.81,4,1.0,0,0,0,16,4,Redis Attack,3.0
909,110.53,0,0.3,1,0,0,16,4,Port Scan,6.0
554,0.2,5,0.3,0,1,0,16,4,IoT Exploit,9.0
27017,0.25,3,0.3,0,0,0,16,4,MongoDB Attack,3.0
139,0.0,5,0.3,0,1,0,16,4,SMB Exploit,10.0
22,0.04,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
27017,0.59,3,0.3,0,0,0,16,4,MongoDB Attack,3.0
152,53.41,0,0.3,1,0,0,16,4,Port Scan,6.0
53,10821.67,2,0.3,0,0,0,16,4,DNS Amplification,3.0
5432,1.16,3,1.0,0,0,0,16,4,PostgreSQL Attack,3.0
21,0.19,4,1.0,0,0,0,16,4,FTP Attack,7.0
3306,0.31,4,1.0,0,0,0,16,4,MySQL Attack,3.0
139,0.68,5,0.3,0,1,0,16,4,SMB Exploit,10.0
5432,0.08,3,1.0,0,0,0,16,4,PostgreSQL Attack,3.0
23,0.05,4,1.0,0,0,1,16,4,Telnet Brute Force,9.0
6379,0.49,4,1.0,0,0,0,16,4,Redis Attack,3.0
5432,0.53,3,1.0,0,0,0,16,4,PostgreSQL Attack,3.0
6379,0.5,4,1.0,0,0,0,16,4,Redis Attack,3.0
8443,0.23,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
6379,0.64,4,1.0,0,0,0,16,4,Redis Attack,3.0
27017,0.22,3,0.3,0,0,0,16,4,MongoDB Attack,3.0
576,4.39,0,0.3,1,0,0,16,4,Port Scan,6.0
8080,0.52,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
5432,0.24,3,1.0,0,0,0,16,4,PostgreSQL Attack,3.0
80,0.18,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
23,0.1,4,1.0,0,0,1,16,4,Telnet Brute Force,9.0
3389,0.03,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
23,0.04,4,1.0,0,0,1,16,4,Telnet Brute Force,9.0
22,0.08,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
6379,0.45,4,1.0,0,0,0,16,4,Redis Attack,3.0
3389,0.15,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
475,2.15,0,0.3,1,0,0,16,4,Port Scan,6.0
139,0.78,5,0.3,0,1,0,16,4,SMB Exploit,10.0
139,0.63,5,0.3,0,1,0,16,4,SMB Exploit,10.0
21,0.45,4,1.0,0,0,0,16,4,FTP Attack,4.0
139,0.06,5,0.3,0,1,0,16,4,SMB Exploit,10.0
3306,0.28,4,1.0,0,0,0,16,4,MySQL Attack,3.0
6379,0.18,4,1.0,0,0,0,16,4,Redis Attack,3.0
22,0.13,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
8080,0.75,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
6379,0.16,4,1.0,0,0,0,16,4,Redis Attack,3.0
3306,0.03,4,1.0,0,0,0,16,4,MySQL Attack,3.0
6379,0.53,4,1.0,0,0,0,16,4,Redis Attack,3.0
139,0.26,5,0.3,0,1,0,16,4,SMB Exploit,10.0
445,0.03,5,0.3,0,1,0,16,4,SMB Exploit,10.0
21,0.3,4,1.0,0,0,0,16,4,FTP Attack,4.0
53,5044.29,2,0.3,0,0,0,16,4,DNS Amplification,3.0
21,0.2,4,1.0,0,0,0,16,4,FTP Attack,7.0
9000,0.84,5,0.3,0,1,0,16,4,IoT Exploit,9.0
421,5.21,0,0.3,1,0,0,16,4,Port Scan,6.0
445,3.79,5,0.3,0,1,0,16,4,SMB Exploit,10.0
5432,0.17,3,1.0,0,0,0,16,4,PostgreSQL Attack,3.0
3389,0.06,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
8080,0.33,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
6379,0.49,4,1.0,0,0,0,16,4,Redis Attack,3.0
8080,0.46,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
22,0.13,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
3389,0.1,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
53,1385.67,2,0.3,0,0,0,16,4,DNS Amplification,3.0
6379,0.28,4,1.0,0,0,0,16,4,Redis Attack,3.0
8443,0.12,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
3306,0.71,4,1.0,0,0,0,16,4,MySQL Attack,6.0
139,1.8,5,0.3,0,1,0,16,4,SMB Exploit,10.0
3306,2.96,4,1.0,0,0,0,16,4,MySQL Attack,3.0
27017,0.08,3,0.3,0,0,0,16,4,MongoDB Attack,3.0
6379,0.47,4,1.0,0,0,0,16,4,Redis Attack,3.0
80,0.02,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
22,0.19,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
22,0.03,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
3306,0.27,4,1.0,0,0,0,16,4,MySQL Attack,3.0
22,0.26,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
22,0.1,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
80,0.04,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
53,2787.81,2,0.3,0,0,0,16,4,DNS Amplification,3.0
877,106.61,0,0.3,1,0,0,16,4,Port Scan,6.0
23,0.2,4,1.0,0,0,1,16,4,Telnet Brute Force,9.0
6379,0.09,4,1.0,0,0,0,16,4,Redis Attack,3.0
5432,0.23,3,1.0,0,0,0,16,4,PostgreSQL Attack,3.0
5432,0.16,3,1.0,0,0,0,16,4,PostgreSQL Attack,3.0
21,0.03,4,1.0,0,0,0,16,4,FTP Attack,4.0
22,0.5,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
3389,0.01,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
22,0.86,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
139,0.11,5,0.3,0,1,0,16,4,SMB Exploit,10.0
554,0.4,5,0.3,0,1,0,16,4,IoT Exploit,9.0
27017,0.11,3,0.3,0,0,0,16,4,MongoDB Attack,3.0
53,1908.4,2,0.3,0,0,0,16,4,DNS Amplification,3.0
24,6.74,0,0.3,1,0,0,16,4,Port Scan,6.0
6379,0.04,4,1.0,0,0,0,16,4,Redis Attack,3.0
5432,1.03,3,1.0,0,0,0,16,4,PostgreSQL Attack,3.0
53,472.51,2,0.3,0,0,0,16,4,DNS Amplification,3.0
443,0.31,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
22,0.02,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
8443,0.62,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
21,0.18,4,1.0,0,0,0,16,4,FTP Attack,4.0
8080,0.13,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
22,0.07,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
5432,0.07,3,1.0,0,0,0,16,4,PostgreSQL Attack,3.0
8080,0.13,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
443,1.14,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
657,33.56,0,0.3,1,0,0,16,4,Port Scan,9.0
3389,0.03,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
